"","x"
"2028851068",0
"2028880308",53
"2028929395",0
"2028993248",0
"2029006297",0
"2029025881",0
"2029059958",0
"2029079480",17
"2029170377",36
"2029251894",9.5
"2029298628",8
"2029305623",0
"2029315207",0
"2029334323",0
"2029343251",47.5
"2029366374",0
"2029370752",0
"2029376767",0
"2029377763",326.5
"2029387672",0
"2029398607",0
"2029439123",30
"2029458478",16
"2029472688",18
"2029543634",94
"2029580414",14
"2029642961",3.5
"2029659827",0
"2029682174",0
"2029730854",110.5
"2029793986",0
"2029815614",0
"2029847666",44
"2029867213",11
"2029900871",0
"2029970789",0
"2029971622",0
"2029987614",0
"2029996447",102
"2030097139",0
"2030183844",0
"2030199364",0
"2030241304",0
"2030319809",0
"2030353835",0
"2030402233",22
"2030497060",0
"2030540612",0
"2030543892",0
"2030576559",0
"2030747196",31.25
"2030803653",28
"2030873530",184
"2030909430",0
"2031027469",0
"2031118056",74.8333333333333
"2031131310",0
"2031189866",10
"2031226214",0
"2031236348",0
"2031247498",23
"2031261229",0
"2031373607",0
"2031467734",0
"2031497896",0
"2031542784",7
"2031549170",0
"2031562988",0
"2031572801",9
"2031574105",0
"2031613440",0
"2031674734",0
"2031782775",0
"2031786698",0
"2031795937",69.5
"2031797436",0
"2031827136",0
"2031863825",0
"2031895827",0
"2031921391",24.8333333333333
"2031928283",0
"2031949523",0
"2032102966",0
"2032115895",8
"2032136667",0
"2032170273",66
"2032198426",334.666666666667
"2032214621",0
"2032299564",13
"2032303662",12
"2032304260",0
"2032320878",0
"2032360374",28
"2032363613",51
"2032424994",0
"2032438872",0
"2032441370",79
"2032546132",0
"2032557892",44
"2032587104",0
"2032622457",0
"2032642422",17
"2032678363",12.5
"2032834743",0
"2032840273",0
"2032855253",11
"2032864679",0
"2032962413",49
"2032963132",30
"2032982774",0
"2032991508",39
"2033008410",0
"2033055719",0
"2033119468",0
"2033139219",0
"2033193574",6
"2033269372",0
"2033276966",0
"2033364507",75
"2033388039",0
"2033478416",0
"2033493830",0
"2033511092",44
"2033557287",0
"2033666489",0
"2033681129",0
"2033726915",0
"2033801164",0
"2033807710",0
"2033835279",51
"2033943585",0
"2034117150",0
"2034124286",48
"2034125743",0
"2034142434",0
"2034260464",0
"2034399102",12.5
"2034438009",94
"2034503428",0
"2034550187",0
"2034571619",2104.2
"2034626943",184
"2034693647",0
"2034717037",0
"2034745399",0
"2034774228",0
"2034934732",12.5
"2035013074",0
"2035060214",82.6666666666667
"2035099946",0
"2035121712",0
"2035172269",0
"2035268558",104.25
"2035315590",0
"2035347978",0
"2035355255",72.5
"2035667327",369
"2035688160",0
"2035711532",0
"2035779239",10
"2035791032",0
